Input,Output
"American,Chinese,Italian", 'Indian' 
"American,Chinese,Indian", 'Italian' 
"American,Italian,Indian", 'Chinese' 
"Barbecue,Italian,Chinese", 'Indian' 
"Barbecue,Chinese,Indian", 'Italian' 
"Barbecue,Italian,Indian", 'Chinese' 
"Moderate,Female,Italian,Chinese", 'Indian' 
"Moderate,Female,Chinese,Indian", 'Italian' 
"Moderate,Female,Italian,Indian", 'Chinese' 
"Female,Italian,Chinese", 'Indian' 
"Male,Moderate,Italian,Chinese", 'Indian' 
"Male,Moderate,Chinese,Indian", 'Italian' 
"Male,Moderate,Italian,Indian", 'Chinese' 
Turkish, 'Indian’
African, 'Chinese' 
Jamaican, 'Chinese' 
Kid Friendly, ‘Indian’
Mediterranean, 'Italian' 
Greek, 'Italian' 
Portuguese," 'Chinese' , 'Barbecue' "
Hungarian, 'Indian' 
Swedish, 'Indian' 
Hawaiian, 'Chinese' 
Cuban," 'Mexican' , 'American' , 'Barbecue' "
Japanese, 'Indian' 
Irish, 'Chinese' 
Moroccan," 'Mexican' , 'American' , 'Barbecue' "
German," 'Chinese' , 'Barbecue' "
Spanish, 'Indian' 
Southwestern," 'Chinese' , 'Barbecue' "
Other, 'Indian' 
