antecedents,consequents
"spongecake,winewhite",flour
tomato,"flour,winered"
"veal,water",flour
"veal,winered",flour
veal,"flour,winered"
"veal,winewhite",flour
"flour,wine",winered
"wine,winered",flour
wine,"flour,winered"
"wine,winewhite",flour
"grapefruit,orange",winered
"grapefruit,spongecake",winered
"grapefruit,winewhite",winered
"lime,orange",winered
"lime,spongecake",winered
"orange,pasta",winered
"orange,potato",winered
"orange,softdrink",winered
"orange,spongecake",winered
"orange,veal",winered
"orange,wine",winered
"pasta,spongecake",winered
"pasta,winewhite",winered
"pork,potato",winered
"pork,softdrink",winered
"pork,spongecake",winered
"potato,winewhite",winered
"scallop,spongecake",winered
"softdrink,spongecake",winered
"softdrink,winewhite",winered
"spongecake,veal",winered
"spongecake,water",winered
"spongecake,winewhite",winered
"wine,winewhite",winered
"banana,beef,chocolate",flour
"banana,chocolate","beef,flour"
"banana,beef,flour",coffee
"banana,flour","beef,coffee"
"banana,beef,winered",coffee
"banana,beef,coffee",winered
"banana,winered","beef,coffee"
"banana,coffee","beef,winered"
"banana,flour,winered",coffee
"banana,coffee,flour",winered
"biscuit,coffee,flour",beef
"beef,biscuit,flour",coffee
"biscuit,flour","beef,coffee"
"biscuit,coffee,winered",beef
"beef,biscuit,winered",coffee
"biscuit,winered","beef,coffee"
"biscuit,coffee","beef,winered"
"bread,coffee,flour",beef
"beef,bread,flour",coffee
"beef,bread,coffee",flour
"bread,flour","beef,coffee"
"bread,coffee","beef,flour"
"bread,flour,winered",beef
"bread,flour","beef,winered"
"bread,winered","beef,flour"
"beef,bread","flour,winered"
bread,"beef,flour,winered"
"butter,chocolate,flour",beef
"beef,butter,chocolate",flour
"butter,chocolate","beef,flour"
"beef,butter,chocolate",winered
"butter,chocolate","beef,winered"
"butter,coffee,flour",beef
"beef,butter,flour",coffee
"beef,butter,coffee",flour
"butter,flour","beef,coffee"
"butter,coffee","beef,flour"
"butter,coffee,winered",beef
"beef,butter,winered",coffee
"beef,butter,coffee",winered
"butter,winered","beef,coffee"
"butter,coffee","beef,winered"
"butter,flour,orange",beef
"beef,butter,orange",flour
"butter,orange","beef,flour"
"beef,butter,pork",flour
"butter,pork","beef,flour"
"butter,flour,spongecake",beef
"beef,butter,spongecake",flour
"butter,spongecake","beef,flour"
"beef,butter,veal",flour
"butter,veal","beef,flour"
"butter,flour,winered",beef
"beef,butter,flour",winered
"beef,butter,winered",flour
"butter,flour","beef,winered"
"butter,winered","beef,flour"
"beef,butter","flour,winered"
butter,"beef,flour,winered"
"butter,flour,winewhite",beef
"beef,butter,winewhite",flour
"butter,winewhite","beef,flour"
"butter,winered,winewhite",beef
"beef,cakemix,winewhite",flour
"cakemix,winewhite","beef,flour"
"beef,chicken,chocolate",flour
"chicken,chocolate","beef,flour"
"chicken,coffee,flour",beef
"chicken,coffee","beef,flour"
"beef,chicken,pork",coffee
"beef,chicken,winered",coffee
"beef,chicken,coffee",winered
"chicken,winered","beef,coffee"
"chicken,coffee","beef,winered"
"beef,chicken,winewhite",coffee
"chicken,winewhite","beef,coffee"
"beef,chicken,cornflour",flour
"chicken,cornflour","beef,flour"
"beef,chicken,pork",flour
"beef,chicken,spongecake",flour
"chicken,spongecake","beef,flour"
"beef,chicken,veal",flour
"chicken,veal","beef,flour"
"beef,chicken,winewhite",flour
"chicken,winewhite","beef,flour"
"beef,chicken,spongecake",winered
"chicken,spongecake","beef,winered"
"chocolate,coffee,flour",beef
"beef,chocolate,flour",coffee
"beef,chocolate,coffee",flour
"chocolate,flour","beef,coffee"
"chocolate,coffee","beef,flour"
"chocolate,coffee,orange",beef
"chocolate,coffee,pork",beef
"beef,chocolate,pork",coffee
"chocolate,pork","beef,coffee"
"chocolate,coffee,spongecake",beef
"beef,chocolate,spongecake",coffee
"chocolate,spongecake","beef,coffee"
"chocolate,coffee,veal",beef
"beef,chocolate,veal",coffee
"chocolate,veal","beef,coffee"
"chocolate,coffee,winered",beef
"beef,chocolate,winered",coffee
"chocolate,winered","beef,coffee"
"chocolate,coffee","beef,winered"
"chocolate,coffee,winewhite",beef
"beef,chocolate,winewhite",coffee
"chocolate,winewhite","beef,coffee"
"chocolate,cornflour,flour",beef
"beef,chocolate,cornflour",flour
"chocolate,cornflour","beef,flour"
"chocolate,cornflour,winered",beef
"beef,chocolate,fruitjuice",flour
"chocolate,fruitjuice","beef,flour"
"beef,chocolate,grapefruit",flour
"chocolate,grapefruit","beef,flour"
"chocolate,flour,lime",beef
"beef,chocolate,lime",flour
"chocolate,lime","beef,flour"
"beef,chocolate,orange",flour
"chocolate,orange","beef,flour"
"beef,chocolate,pasta",flour
"chocolate,pasta","beef,flour"
"beef,chocolate,pork",flour
"chocolate,pork","beef,flour"
"beef,chocolate,scallop",flour
"chocolate,scallop","beef,flour"
"beef,chocolate,softdrink",flour
"chocolate,softdrink","beef,flour"
"chocolate,flour,spongecake",beef
"beef,chocolate,spongecake",flour
"chocolate,spongecake","beef,flour"
"beef,chocolate,veal",flour
"chocolate,veal","beef,flour"
"chocolate,flour,water",beef
"beef,chocolate,water",flour
"chocolate,water","beef,flour"
"chocolate,flour,wine",beef
"beef,chocolate,wine",flour
"chocolate,wine","beef,flour"
"beef,chocolate,winered",flour
"chocolate,winered","beef,flour"
"beef,chocolate","flour,winered"
chocolate,"beef,flour,winered"
"beef,chocolate,winewhite",flour
"chocolate,winewhite","beef,flour"
"chocolate,lime,winered",beef
"chocolate,spongecake,winered",beef
"beef,chocolate,spongecake",winered
"chocolate,spongecake","beef,winered"
"chocolate,water,winered",beef
"beef,cornflour,flour",coffee
"coffee,cornflour,flour",beef
"cornflour,flour","beef,coffee"
"coffee,cornflour","beef,flour"
"coffee,cornflour,orange",beef
"beef,cornflour,winered",coffee
"coffee,cornflour,winered",beef
"beef,coffee,cornflour",winered
"cornflour,winered","beef,coffee"
"coffee,cornflour","beef,winered"
"beef,cornflour,winewhite",coffee
"coffee,cornflour,winewhite",beef
"cornflour,winewhite","beef,coffee"
"beef,flour,fruitjuice",coffee
"beef,coffee,fruitjuice",flour
"coffee,fruitjuice","beef,flour"
"beef,coffee,grapefruit",flour
"coffee,grapefruit","beef,flour"
"beef,coffee,lamb",flour
"coffee,lamb","beef,flour"
"coffee,flour,lime",beef
"coffee,lime","beef,flour"
"coffee,flour,mushroom",beef
"beef,coffee,mushroom",flour
"coffee,mushroom","beef,flour"
"coffee,flour,onion",beef
"beef,flour,onion",coffee
"flour,onion","beef,coffee"
"beef,flour,pasta",coffee
"beef,coffee,pasta",flour
"coffee,pasta","beef,flour"
"beef,flour,pork",coffee
"beef,coffee,pork",flour
"coffee,pork","beef,flour"
"beef,flour,potato",coffee
"beef,coffee,potato",flour
"flour,potato","beef,coffee"
"coffee,potato","beef,flour"
"beef,flour,sausage",coffee
"flour,sausage","beef,coffee"
"coffee,sausage","beef,flour"
"coffee,flour,scallop",beef
"coffee,flour,softdrink",beef
"coffee,flour,spongecake",beef
"coffee,spongecake","beef,flour"
"coffee,flour,tomato",beef
"beef,flour,tomato",coffee
"flour,tomato","beef,coffee"
"coffee,flour,veal",beef
"beef,flour,veal",coffee
"beef,coffee,veal",flour
"coffee,veal","beef,flour"
"coffee,flour,water",beef
"beef,flour,water",coffee
"flour,water","beef,coffee"
"coffee,water","beef,flour"
"coffee,flour,wine",beef
"beef,flour,wine",coffee
"beef,coffee,wine",flour
"flour,wine","beef,coffee"
"coffee,wine","beef,flour"
"beef,flour,winered",coffee
"beef,coffee,flour",winered
"flour,winered","beef,coffee"
"coffee,flour","beef,winered"
"beef,coffee","flour,winered"
coffee,"beef,flour,winered"
"coffee,flour,winewhite",beef
"beef,flour,winewhite",coffee
"beef,coffee,winewhite",flour
"flour,winewhite","beef,coffee"
"coffee,winewhite","beef,flour"
"beef,fruitjuice,winered",coffee
"beef,coffee,fruitjuice",winered
"fruitjuice,winered","beef,coffee"
"coffee,fruitjuice","beef,winered"
"beef,coffee,grapefruit",winered
"coffee,grapefruit","beef,winered"
"beef,grapefruit,winewhite",coffee
"coffee,lime,winered",beef
"beef,lime,winered",coffee
"beef,coffee,lime",winered
"lime,winered","beef,coffee"
"coffee,lime","beef,winered"
"coffee,lime,winewhite",beef
"beef,lime,winewhite",coffee
"lime,winewhite","beef,coffee"
"coffee,mushroom,winered",beef
"coffee,mushroom","beef,winered"
"coffee,onion,winered",beef
"beef,onion,winered",coffee
"beef,coffee,onion",winered
"onion,winered","beef,coffee"
"coffee,onion","beef,winered"
"coffee,orange,scallop",beef
"beef,coffee,orange",winered
"coffee,orange","beef,winered"
"beef,coffee,pasta",winered
"coffee,pasta","beef,winered"
"coffee,pork,spongecake",beef
"beef,pork,spongecake",coffee
"coffee,pork,veal",beef
"beef,pork,winered",coffee
"beef,coffee,pork",winered
"coffee,pork","beef,winered"
"beef,pork,winewhite",coffee
"pork,winewhite","beef,coffee"
"beef,potato,winered",coffee
"beef,coffee,potato",winered
"potato,winered","beef,coffee"
"coffee,potato","beef,winered"
"beef,potato,winewhite",coffee
"coffee,potato,winewhite",beef
"potato,winewhite","beef,coffee"
"coffee,scallop,winered",beef
"coffee,scallop,winewhite",beef
"coffee,softdrink,winered",beef
"beef,coffee,softdrink",winered
"coffee,softdrink","beef,winered"
"coffee,softdrink,winewhite",beef
"coffee,spongecake,veal",beef
"beef,spongecake,veal",coffee
"spongecake,veal","beef,coffee"
"coffee,spongecake,winered",beef
"beef,spongecake,winered",coffee
"beef,coffee,spongecake",winered
"spongecake,winered","beef,coffee"
"coffee,spongecake","beef,winered"
"coffee,spongecake,winewhite",beef
"beef,spongecake,winewhite",coffee
"spongecake,winewhite","beef,coffee"
"coffee,veal,winered",beef
"beef,veal,winered",coffee
"beef,coffee,veal",winered
"veal,winered","beef,coffee"
"coffee,veal","beef,winered"
"coffee,veal,winewhite",beef
"beef,veal,winewhite",coffee
"veal,winewhite","beef,coffee"
"coffee,water,winered",beef
"beef,water,winered",coffee
"water,winered","beef,coffee"
"coffee,water","beef,winered"
"coffee,water,winewhite",beef
"beef,water,winewhite",coffee
"water,winewhite","beef,coffee"
"coffee,wine,winered",beef
"beef,wine,winered",coffee
"beef,coffee,wine",winered
"wine,winered","beef,coffee"
"coffee,wine","beef,winered"
"coffee,wine,winewhite",beef
"beef,wine,winewhite",coffee
"wine,winewhite","beef,coffee"
"coffee,winered,winewhite",beef
"beef,winered,winewhite",coffee
"beef,coffee,winewhite",winered
"winered,winewhite","beef,coffee"
"coffee,winewhite","beef,winered"
"cornflour,flour,orange",beef
"cornflour,flour,spongecake",beef
"cornflour,spongecake","beef,flour"
"cornflour,flour,veal",beef
"beef,cornflour,veal",flour
"cornflour,veal","beef,flour"
"cornflour,flour,winered",beef
"cornflour,orange,winered",beef
"cornflour,orange","beef,winered"
"cornflour,spongecake,winered",beef
"beef,cornflour,spongecake",winered
"cornflour,spongecake","beef,winered"
"cornflour,veal,winered",beef
"beef,fruitjuice","flour,winered"
"beef,fruitjuice,winewhite",flour
"beef,grapefruit,spongecake",flour
"grapefruit,spongecake","beef,flour"
"beef,flour,grapefruit",winered
"beef,grapefruit,winered",flour
"beef,grapefruit","flour,winered"
grapefruit,"beef,flour,winered"
"beef,grapefruit,winewhite",flour
"grapefruit,winewhite","beef,flour"
"beef,lamb,winered",flour
"beef,lamb","flour,winered"
lamb,"beef,flour,winered"
"flour,lettuce,winered",beef
"beef,lettuce,winered",flour
"beef,flour,lettuce",winered
"lettuce,winered","beef,flour"
"flour,lettuce","beef,winered"
"beef,lettuce","flour,winered"
lettuce,"beef,flour,winered"
"flour,lime,orange",beef
"beef,lime,orange",flour
"lime,orange","beef,flour"
"flour,lime,spongecake",beef
"lime,spongecake","beef,flour"
"flour,lime,veal",beef
"lime,veal","beef,flour"
lime,"beef,flour,winered"
"flour,lime,winewhite",beef
"beef,lime,winewhite",flour
"lime,winewhite","beef,flour"
"flour,mushroom,orange",beef
"beef,mushroom,orange",flour
"mushroom,orange","beef,flour"
"flour,mushroom,pork",beef
"beef,mushroom,pork",flour
"mushroom,pork","beef,flour"
"flour,mushroom,winered",beef
"beef,mushroom,winered",flour
"mushroom,winered","beef,flour"
"flour,mushroom,winewhite",beef
"beef,mushroom,winewhite",flour
"mushroom,winewhite","beef,flour"
"flour,onion,winered",beef
"flour,onion","beef,winered"
onion,"beef,flour,winered"
"beef,orange,pasta",flour
"beef,orange,potato",flour
"beef,orange,veal",flour
"orange,veal","beef,flour"
"flour,orange,water",beef
"beef,flour,pasta",winered
"beef,pasta,winered",flour
"flour,pasta","beef,winered"
"beef,pasta","flour,winered"
pasta,"beef,flour,winered"
"beef,pasta,winewhite",flour
"flour,pork,scallop",beef
"beef,pork,softdrink",flour
"pork,softdrink","beef,flour"
"beef,pork,spongecake",flour
"pork,spongecake","beef,flour"
"beef,pork,veal",flour
"pork,veal","beef,flour"
"flour,pork,water",beef
"beef,pork,winewhite",flour
"beef,flour,potato",winered
"beef,potato,winered",flour
"flour,potato","beef,winered"
"beef,potato","flour,winered"
potato,"beef,flour,winered"
"beef,potato,winewhite",flour
"flour,sausage,winered",beef
"flour,sausage","beef,winered"
"beef,sausage","flour,winered"
sausage,"beef,flour,winered"
"flour,scallop,spongecake",beef
"flour,scallop,veal",beef
"scallop,veal","beef,flour"
"flour,softdrink,spongecake",beef
"beef,softdrink,veal",flour
"softdrink,veal","beef,flour"
"beef,flour,softdrink",winered
"flour,softdrink","beef,winered"
softdrink,"beef,flour,winered"
"beef,spongecake,veal",flour
"spongecake,veal","beef,flour"
"flour,spongecake,water",beef
"spongecake,water","beef,flour"
"flour,spongecake,winered",beef
"beef,flour,spongecake",winered
"flour,spongecake","beef,winered"
"beef,spongecake","flour,winered"
spongecake,"beef,flour,winered"
"flour,spongecake,winewhite",beef
"beef,spongecake,winewhite",flour
"spongecake,winewhite","beef,flour"
"flour,tomato,winered",beef
"tomato,winered","beef,flour"
"beef,tomato","flour,winered"
tomato,"beef,flour,winered"
"flour,veal,water",beef
"beef,veal,water",flour
"veal,water","beef,flour"
"beef,veal,winered",flour
"veal,winered","beef,flour"
"beef,veal","flour,winered"
veal,"beef,flour,winered"
"beef,veal,winewhite",flour
"veal,winewhite","beef,flour"
"flour,water,winered",beef
"flour,water,winewhite",beef
"water,winewhite","beef,flour"
"flour,wine,winered",beef
"beef,flour,wine",winered
"flour,wine","beef,winered"
"wine,winered","beef,flour"
"beef,wine","flour,winered"
wine,"beef,flour,winered"
"flour,wine,winewhite",beef
"beef,wine,winewhite",flour
"wine,winewhite","beef,flour"
"beef,grapefruit,orange",winered
"beef,grapefruit,spongecake",winered
"grapefruit,spongecake","beef,winered"
"beef,grapefruit,winewhite",winered
"lime,orange,winered",beef
"beef,lime,orange",winered
"lime,orange","beef,winered"
"lime,winered,winewhite",beef
"mushroom,orange,winered",beef
"mushroom,winered,winewhite",beef
"beef,orange,pasta",winered
"orange,pasta","beef,winered"
"beef,orange,potato",winered
"orange,potato","beef,winered"
"beef,orange,softdrink",winered
"orange,softdrink","beef,winered"
"beef,orange,spongecake",winered
"orange,spongecake","beef,winered"
"beef,orange,veal",winered
"orange,water,winered",beef
"beef,orange,wine",winered
"orange,wine","beef,winered"
"beef,pasta,winewhite",winered
"pasta,winewhite","beef,winered"
"pork,scallop,winered",beef
"beef,pork,softdrink",winered
"pork,softdrink","beef,winered"
"beef,pork,spongecake",winered
"pork,spongecake","beef,winered"
"pork,water,winered",beef
"beef,potato,winewhite",winered
"potato,winewhite","beef,winered"
"scallop,spongecake,winered",beef
"beef,scallop,spongecake",winered
"scallop,spongecake","beef,winered"
"scallop,veal,winered",beef
"softdrink,spongecake,winered",beef
"beef,softdrink,spongecake",winered
"softdrink,spongecake","beef,winered"
"beef,softdrink,winewhite",winered
"softdrink,winewhite","beef,winered"
"beef,spongecake,veal",winered
"spongecake,veal","beef,winered"
"spongecake,water,winered",beef
"spongecake,water","beef,winered"
"spongecake,winered,winewhite",beef
"beef,spongecake,winewhite",winered
"spongecake,winewhite","beef,winered"
"water,winered,winewhite",beef
"wine,winered,winewhite",beef
"beef,wine,winewhite",winered
"wine,winewhite","beef,winered"
"butter,chocolate,flour",winered
"butter,chocolate,winered",flour
"butter,chocolate","flour,winered"
"butter,flour,winered",coffee
"butter,coffee,flour",winered
"butter,coffee,winered",flour
"butter,winered","coffee,flour"
"butter,coffee","flour,winered"
"butter,orange,winered",flour
"butter,orange","flour,winered"
"butter,winered,winewhite",flour
"butter,winewhite","flour,winered"
"chicken,chocolate,winered",flour
"chicken,flour,winered",coffee
"chicken,coffee","flour,winered"
"chicken,flour,winewhite",coffee
"chicken,coffee,winewhite",flour
"chicken,winered,winewhite",coffee
"chicken,coffee,winewhite",winered
"chicken,flour,spongecake",winered
"chicken,spongecake","flour,winered"
"chicken,veal,winered",flour
"chicken,winered,winewhite",flour
"chocolate,coffee,orange",flour
"chocolate,coffee,pork",flour
"chocolate,flour,pork",coffee
"chocolate,coffee,spongecake",flour
"chocolate,flour,veal",coffee
"chocolate,coffee,veal",flour
"chocolate,flour,winered",coffee
"chocolate,coffee,winered",flour
"chocolate,coffee","flour,winered"
"chocolate,flour,winewhite",coffee
"chocolate,coffee,winewhite",flour
"chocolate,orange,winered",coffee
"chocolate,coffee,orange",winered
