antecedents,consequents
"potato,wine red",flour
potato,"flour,wine red"
"potato,wine white",flour
sausage,"flour,wine red"
"soft drink,veal",flour
"flour,soft drink",wine red
soft drink,"flour,wine red"
"sponge cake,veal",flour
"flour,sponge cake",wine red
sponge cake,"flour,wine red"
"sponge cake,wine white",flour
tomato,"flour,wine red"
"veal,water",flour
"veal,wine red",flour
veal,"flour,wine red"
"veal,wine white",flour
"flour,wine",wine red
"wine,wine red",flour
wine,"flour,wine red"
"wine,wine white",flour
"grapefruit,orange",wine red
"grapefruit,sponge cake",wine red
"grapefruit,wine white",wine red
"lime,orange",wine red
"lime,sponge cake",wine red
"orange,pasta",wine red
"orange,potato",wine red
"orange,soft drink",wine red
"orange,sponge cake",wine red
"orange,veal",wine red
"orange,wine",wine red
"pasta,sponge cake",wine red
"pasta,wine white",wine red
"pork,potato",wine red
"pork,soft drink",wine red
"pork,sponge cake",wine red
"potato,wine white",wine red
"scallop,sponge cake",wine red
"soft drink,sponge cake",wine red
"soft drink,wine white",wine red
"sponge cake,veal",wine red
"sponge cake,water",wine red
"sponge cake,wine white",wine red
"wine,wine white",wine red
"banana,beef,chocolate",flour
"banana,chocolate","beef,flour"
"banana,beef,flour",coffee
"banana,flour","beef,coffee"
"banana,beef,wine red",coffee
"banana,beef,coffee",wine red
"banana,wine red","beef,coffee"
"banana,coffee","beef,wine red"
"banana,flour,wine red",coffee
"banana,coffee,flour",wine red
"biscuit,coffee,flour",beef
"beef,biscuit,flour",coffee
"biscuit,flour","beef,coffee"
"biscuit,coffee,wine red",beef
"beef,biscuit,wine red",coffee
"biscuit,wine red","beef,coffee"
"biscuit,coffee","beef,wine red"
"bread,coffee,flour",beef
"beef,bread,flour",coffee
"beef,bread,coffee",flour
"bread,flour","beef,coffee"
"bread,coffee","beef,flour"
"bread,flour,wine red",beef
"bread,flour","beef,wine red"
"bread,wine red","beef,flour"
"beef,bread","flour,wine red"
bread,"beef,flour,wine red"
"butter,chocolate,flour",beef
"beef,butter,chocolate",flour
"butter,chocolate","beef,flour"
"beef,butter,chocolate",wine red
"butter,chocolate","beef,wine red"
"butter,coffee,flour",beef
"beef,butter,flour",coffee
"beef,butter,coffee",flour
"butter,flour","beef,coffee"
"butter,coffee","beef,flour"
"butter,coffee,wine red",beef
"beef,butter,wine red",coffee
"beef,butter,coffee",wine red
"butter,wine red","beef,coffee"
"butter,coffee","beef,wine red"
"butter,flour,orange",beef
"beef,butter,orange",flour
"butter,orange","beef,flour"
"beef,butter,pork",flour
"butter,pork","beef,flour"
"butter,flour,sponge cake",beef
"beef,butter,sponge cake",flour
"butter,sponge cake","beef,flour"
"beef,butter,veal",flour
"butter,veal","beef,flour"
"butter,flour,wine red",beef
"beef,butter,flour",wine red
"beef,butter,wine red",flour
"butter,flour","beef,wine red"
"butter,wine red","beef,flour"
"beef,butter","flour,wine red"
butter,"beef,flour,wine red"
"butter,flour,wine white",beef
"beef,butter,wine white",flour
"butter,wine white","beef,flour"
"butter,wine red,wine white",beef
"beef,cake mix,wine white",flour
"cake mix,wine white","beef,flour"
"beef,chicken,chocolate",flour
"chicken,chocolate","beef,flour"
"chicken,coffee,flour",beef
"chicken,coffee","beef,flour"
"beef,chicken,pork",coffee
"beef,chicken,wine red",coffee
"beef,chicken,coffee",wine red
"chicken,wine red","beef,coffee"
"chicken,coffee","beef,wine red"
"beef,chicken,wine white",coffee
"chicken,wine white","beef,coffee"
"beef,chicken,corn flour",flour
"chicken,corn flour","beef,flour"
"beef,chicken,pork",flour
"beef,chicken,sponge cake",flour
"chicken,sponge cake","beef,flour"
"beef,chicken,veal",flour
"chicken,veal","beef,flour"
"beef,chicken,wine white",flour
"chicken,wine white","beef,flour"
"beef,chicken,sponge cake",wine red
"chicken,sponge cake","beef,wine red"
"chocolate,coffee,flour",beef
"beef,chocolate,flour",coffee
"beef,chocolate,coffee",flour
"chocolate,flour","beef,coffee"
"chocolate,coffee","beef,flour"
"chocolate,coffee,orange",beef
"chocolate,coffee,pork",beef
"beef,chocolate,pork",coffee
"chocolate,pork","beef,coffee"
"chocolate,coffee,sponge cake",beef
"beef,chocolate,sponge cake",coffee
"chocolate,sponge cake","beef,coffee"
"chocolate,coffee,veal",beef
"beef,chocolate,veal",coffee
"chocolate,veal","beef,coffee"
"chocolate,coffee,wine red",beef
"beef,chocolate,wine red",coffee
"chocolate,wine red","beef,coffee"
"chocolate,coffee","beef,wine red"
"chocolate,coffee,wine white",beef
"beef,chocolate,wine white",coffee
"chocolate,wine white","beef,coffee"
"chocolate,corn flour,flour",beef
"beef,chocolate,corn flour",flour
"chocolate,corn flour","beef,flour"
"chocolate,corn flour,wine red",beef
"beef,chocolate,fruit juice",flour
"chocolate,fruit juice","beef,flour"
"beef,chocolate,grapefruit",flour
"chocolate,grapefruit","beef,flour"
"chocolate,flour,lime",beef
"beef,chocolate,lime",flour
"chocolate,lime","beef,flour"
"beef,chocolate,orange",flour
"chocolate,orange","beef,flour"
"beef,chocolate,pasta",flour
"chocolate,pasta","beef,flour"
"beef,chocolate,pork",flour
"chocolate,pork","beef,flour"
"beef,chocolate,scallop",flour
"chocolate,scallop","beef,flour"
"beef,chocolate,soft drink",flour
"chocolate,soft drink","beef,flour"
"chocolate,flour,sponge cake",beef
"beef,chocolate,sponge cake",flour
"chocolate,sponge cake","beef,flour"
"beef,chocolate,veal",flour
"chocolate,veal","beef,flour"
"chocolate,flour,water",beef
"beef,chocolate,water",flour
"chocolate,water","beef,flour"
"chocolate,flour,wine",beef
"beef,chocolate,wine",flour
"chocolate,wine","beef,flour"
"beef,chocolate,wine red",flour
"chocolate,wine red","beef,flour"
"beef,chocolate","flour,wine red"
chocolate,"beef,flour,wine red"
"beef,chocolate,wine white",flour
"chocolate,wine white","beef,flour"
"chocolate,lime,wine red",beef
"chocolate,sponge cake,wine red",beef
"beef,chocolate,sponge cake",wine red
"chocolate,sponge cake","beef,wine red"
"chocolate,water,wine red",beef
"beef,corn flour,flour",coffee
"coffee,corn flour,flour",beef
"corn flour,flour","beef,coffee"
"coffee,corn flour","beef,flour"
"coffee,corn flour,orange",beef
"beef,corn flour,wine red",coffee
"coffee,corn flour,wine red",beef
"beef,coffee,corn flour",wine red
"corn flour,wine red","beef,coffee"
"coffee,corn flour","beef,wine red"
"beef,corn flour,wine white",coffee
"coffee,corn flour,wine white",beef
"corn flour,wine white","beef,coffee"
"beef,flour,fruit juice",coffee
"beef,coffee,fruit juice",flour
"coffee,fruit juice","beef,flour"
"beef,coffee,grapefruit",flour
"coffee,grapefruit","beef,flour"
"beef,coffee,lamb",flour
"coffee,lamb","beef,flour"
"coffee,flour,lime",beef
"coffee,lime","beef,flour"
"coffee,flour,mushroom",beef
"beef,coffee,mushroom",flour
"coffee,mushroom","beef,flour"
"coffee,flour,onion",beef
"beef,flour,onion",coffee
"flour,onion","beef,coffee"
"beef,flour,pasta",coffee
"beef,coffee,pasta",flour
"coffee,pasta","beef,flour"
"beef,flour,pork",coffee
"beef,coffee,pork",flour
"coffee,pork","beef,flour"
"beef,flour,potato",coffee
"beef,coffee,potato",flour
"flour,potato","beef,coffee"
"coffee,potato","beef,flour"
"beef,flour,sausage",coffee
"flour,sausage","beef,coffee"
"coffee,sausage","beef,flour"
"coffee,flour,scallop",beef
"coffee,flour,soft drink",beef
"coffee,flour,sponge cake",beef
"coffee,sponge cake","beef,flour"
"coffee,flour,tomato",beef
"beef,flour,tomato",coffee
"flour,tomato","beef,coffee"
"coffee,flour,veal",beef
"beef,flour,veal",coffee
"beef,coffee,veal",flour
"coffee,veal","beef,flour"
"coffee,flour,water",beef
"beef,flour,water",coffee
"flour,water","beef,coffee"
"coffee,water","beef,flour"
"coffee,flour,wine",beef
"beef,flour,wine",coffee
"beef,coffee,wine",flour
"flour,wine","beef,coffee"
"coffee,wine","beef,flour"
"beef,flour,wine red",coffee
"beef,coffee,flour",wine red
"flour,wine red","beef,coffee"
"coffee,flour","beef,wine red"
"beef,coffee","flour,wine red"
coffee,"beef,flour,wine red"
"coffee,flour,wine white",beef
"beef,flour,wine white",coffee
"beef,coffee,wine white",flour
"flour,wine white","beef,coffee"
"coffee,wine white","beef,flour"
"beef,fruit juice,wine red",coffee
"beef,coffee,fruit juice",wine red
"fruit juice,wine red","beef,coffee"
"coffee,fruit juice","beef,wine red"
"beef,coffee,grapefruit",wine red
"coffee,grapefruit","beef,wine red"
"beef,grapefruit,wine white",coffee
"coffee,lime,wine red",beef
"beef,lime,wine red",coffee
"beef,coffee,lime",wine red
"lime,wine red","beef,coffee"
"coffee,lime","beef,wine red"
"coffee,lime,wine white",beef
"beef,lime,wine white",coffee
"lime,wine white","beef,coffee"
"coffee,mushroom,wine red",beef
"coffee,mushroom","beef,wine red"
"coffee,onion,wine red",beef
"beef,onion,wine red",coffee
"beef,coffee,onion",wine red
"onion,wine red","beef,coffee"
"coffee,onion","beef,wine red"
"coffee,orange,scallop",beef
"beef,coffee,orange",wine red
"coffee,orange","beef,wine red"
"beef,coffee,pasta",wine red
"coffee,pasta","beef,wine red"
"coffee,pork,sponge cake",beef
"beef,pork,sponge cake",coffee
"coffee,pork,veal",beef
"beef,pork,wine red",coffee
"beef,coffee,pork",wine red
"coffee,pork","beef,wine red"
"beef,pork,wine white",coffee
"pork,wine white","beef,coffee"
"beef,potato,wine red",coffee
"beef,coffee,potato",wine red
"potato,wine red","beef,coffee"
"coffee,potato","beef,wine red"
"beef,potato,wine white",coffee
"coffee,potato,wine white",beef
"potato,wine white","beef,coffee"
"coffee,scallop,wine red",beef
"coffee,scallop,wine white",beef
"coffee,soft drink,wine red",beef
"beef,coffee,soft drink",wine red
"coffee,soft drink","beef,wine red"
"coffee,soft drink,wine white",beef
"coffee,sponge cake,veal",beef
"beef,sponge cake,veal",coffee
"sponge cake,veal","beef,coffee"
"coffee,sponge cake,wine red",beef
"beef,sponge cake,wine red",coffee
"beef,coffee,sponge cake",wine red
"sponge cake,wine red","beef,coffee"
"coffee,sponge cake","beef,wine red"
"coffee,sponge cake,wine white",beef
"beef,sponge cake,wine white",coffee
"sponge cake,wine white","beef,coffee"
"coffee,veal,wine red",beef
"beef,veal,wine red",coffee
"beef,coffee,veal",wine red
"veal,wine red","beef,coffee"
"coffee,veal","beef,wine red"
"coffee,veal,wine white",beef
"beef,veal,wine white",coffee
"veal,wine white","beef,coffee"
"coffee,water,wine red",beef
"beef,water,wine red",coffee
"water,wine red","beef,coffee"
"coffee,water","beef,wine red"
"coffee,water,wine white",beef
"beef,water,wine white",coffee
"water,wine white","beef,coffee"
"coffee,wine,wine red",beef
"beef,wine,wine red",coffee
"beef,coffee,wine",wine red
"wine,wine red","beef,coffee"
"coffee,wine","beef,wine red"
"coffee,wine,wine white",beef
"beef,wine,wine white",coffee
"wine,wine white","beef,coffee"
"coffee,wine red,wine white",beef
"beef,wine red,wine white",coffee
"beef,coffee,wine white",wine red
"wine red,wine white","beef,coffee"
"coffee,wine white","beef,wine red"
"corn flour,flour,orange",beef
"corn flour,flour,sponge cake",beef
"corn flour,sponge cake","beef,flour"
"corn flour,flour,veal",beef
"beef,corn flour,veal",flour
"corn flour,veal","beef,flour"
"corn flour,flour,wine red",beef
"corn flour,orange,wine red",beef
"corn flour,orange","beef,wine red"
"corn flour,sponge cake,wine red",beef
"beef,corn flour,sponge cake",wine red
"corn flour,sponge cake","beef,wine red"
"corn flour,veal,wine red",beef
"beef,fruit juice","flour,wine red"
"beef,fruit juice,wine white",flour
"beef,grapefruit,sponge cake",flour
"grapefruit,sponge cake","beef,flour"
"beef,flour,grapefruit",wine red
"beef,grapefruit,wine red",flour
"beef,grapefruit","flour,wine red"
grapefruit,"beef,flour,wine red"
"beef,grapefruit,wine white",flour
"grapefruit,wine white","beef,flour"
"beef,lamb,wine red",flour
"beef,lamb","flour,wine red"
lamb,"beef,flour,wine red"
"flour,lettuce,wine red",beef
"beef,lettuce,wine red",flour
"beef,flour,lettuce",wine red
"lettuce,wine red","beef,flour"
"flour,lettuce","beef,wine red"
"beef,lettuce","flour,wine red"
lettuce,"beef,flour,wine red"
"flour,lime,orange",beef
"beef,lime,orange",flour
"lime,orange","beef,flour"
"flour,lime,sponge cake",beef
"lime,sponge cake","beef,flour"
"flour,lime,veal",beef
"lime,veal","beef,flour"
lime,"beef,flour,wine red"
"flour,lime,wine white",beef
"beef,lime,wine white",flour
"lime,wine white","beef,flour"
"flour,mushroom,orange",beef
"beef,mushroom,orange",flour
"mushroom,orange","beef,flour"
"flour,mushroom,pork",beef
"beef,mushroom,pork",flour
"mushroom,pork","beef,flour"
"flour,mushroom,wine red",beef
"beef,mushroom,wine red",flour
"mushroom,wine red","beef,flour"
"flour,mushroom,wine white",beef
"beef,mushroom,wine white",flour
"mushroom,wine white","beef,flour"
"flour,onion,wine red",beef
"flour,onion","beef,wine red"
onion,"beef,flour,wine red"
"beef,orange,pasta",flour
"beef,orange,potato",flour
"beef,orange,veal",flour
"orange,veal","beef,flour"
"flour,orange,water",beef
"beef,flour,pasta",wine red
"beef,pasta,wine red",flour
"flour,pasta","beef,wine red"
"beef,pasta","flour,wine red"
pasta,"beef,flour,wine red"
"beef,pasta,wine white",flour
"flour,pork,scallop",beef
"beef,pork,soft drink",flour
"pork,soft drink","beef,flour"
"beef,pork,sponge cake",flour
"pork,sponge cake","beef,flour"
"beef,pork,veal",flour
"pork,veal","beef,flour"
"flour,pork,water",beef
"beef,pork,wine white",flour
"beef,flour,potato",wine red
"beef,potato,wine red",flour
"flour,potato","beef,wine red"
"beef,potato","flour,wine red"
potato,"beef,flour,wine red"
"beef,potato,wine white",flour
"flour,sausage,wine red",beef
"flour,sausage","beef,wine red"
"beef,sausage","flour,wine red"
sausage,"beef,flour,wine red"
"flour,scallop,sponge cake",beef
"flour,scallop,veal",beef
"scallop,veal","beef,flour"
"flour,soft drink,sponge cake",beef
"beef,soft drink,veal",flour
"soft drink,veal","beef,flour"
"beef,flour,soft drink",wine red
"flour,soft drink","beef,wine red"
soft drink,"beef,flour,wine red"
"beef,sponge cake,veal",flour
"sponge cake,veal","beef,flour"
"flour,sponge cake,water",beef
"sponge cake,water","beef,flour"
"flour,sponge cake,wine red",beef
"beef,flour,sponge cake",wine red
"flour,sponge cake","beef,wine red"
"beef,sponge cake","flour,wine red"
sponge cake,"beef,flour,wine red"
"flour,sponge cake,wine white",beef
"beef,sponge cake,wine white",flour
"sponge cake,wine white","beef,flour"
"flour,tomato,wine red",beef
"tomato,wine red","beef,flour"
"beef,tomato","flour,wine red"
tomato,"beef,flour,wine red"
"flour,veal,water",beef
"beef,veal,water",flour
"veal,water","beef,flour"
"beef,veal,wine red",flour
"veal,wine red","beef,flour"
"beef,veal","flour,wine red"
veal,"beef,flour,wine red"
"beef,veal,wine white",flour
"veal,wine white","beef,flour"
"flour,water,wine red",beef
"flour,water,wine white",beef
"water,wine white","beef,flour"
"flour,wine,wine red",beef
"beef,flour,wine",wine red
"flour,wine","beef,wine red"
"wine,wine red","beef,flour"
"beef,wine","flour,wine red"
wine,"beef,flour,wine red"
"flour,wine,wine white",beef
"beef,wine,wine white",flour
"wine,wine white","beef,flour"
"beef,grapefruit,orange",wine red
"beef,grapefruit,sponge cake",wine red
"grapefruit,sponge cake","beef,wine red"
"beef,grapefruit,wine white",wine red
"lime,orange,wine red",beef
"beef,lime,orange",wine red
"lime,orange","beef,wine red"
"lime,wine red,wine white",beef
"mushroom,orange,wine red",beef
"mushroom,wine red,wine white",beef
"beef,orange,pasta",wine red
"orange,pasta","beef,wine red"
"beef,orange,potato",wine red
"orange,potato","beef,wine red"
"beef,orange,soft drink",wine red
"orange,soft drink","beef,wine red"
"beef,orange,sponge cake",wine red
"orange,sponge cake","beef,wine red"
"beef,orange,veal",wine red
"orange,water,wine red",beef
"beef,orange,wine",wine red
"orange,wine","beef,wine red"
"beef,pasta,wine white",wine red
"pasta,wine white","beef,wine red"
"pork,scallop,wine red",beef
"beef,pork,soft drink",wine red
"pork,soft drink","beef,wine red"
"beef,pork,sponge cake",wine red
"pork,sponge cake","beef,wine red"
"pork,water,wine red",beef
"beef,potato,wine white",wine red
"potato,wine white","beef,wine red"
"scallop,sponge cake,wine red",beef
"beef,scallop,sponge cake",wine red
"scallop,sponge cake","beef,wine red"
"scallop,veal,wine red",beef
"soft drink,sponge cake,wine red",beef
"beef,soft drink,sponge cake",wine red
"soft drink,sponge cake","beef,wine red"
"beef,soft drink,wine white",wine red
"soft drink,wine white","beef,wine red"
"beef,sponge cake,veal",wine red
"sponge cake,veal","beef,wine red"
"sponge cake,water,wine red",beef
"sponge cake,water","beef,wine red"
"sponge cake,wine red,wine white",beef
"beef,sponge cake,wine white",wine red
"sponge cake,wine white","beef,wine red"
"water,wine red,wine white",beef
"wine,wine red,wine white",beef
"beef,wine,wine white",wine red
"wine,wine white","beef,wine red"
"butter,chocolate,flour",wine red
"butter,chocolate,wine red",flour
"butter,chocolate","flour,wine red"
"butter,flour,wine red",coffee
"butter,coffee,flour",wine red
"butter,coffee,wine red",flour
"butter,wine red","coffee,flour"
"butter,coffee","flour,wine red"
"butter,orange,wine red",flour
"butter,orange","flour,wine red"
"butter,wine red,wine white",flour
"butter,wine white","flour,wine red"
